FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1627,Washington Street,5172200,3,2,0, ,SLM,218.631177347,296.344545398333
1628,Tremont Street,4486600,3,2,0,2020,SBL,73.481643358,99.6373981643394
1629,Washington Street,5326500,3,2,0,2020,SBL,20.1400818141,27.3117596616873
1630,Harrison Avenue,5461700,5,2,0,2019,BFBL,56.751913892,76.9560075505613
1631,Tremont Street,46180300,3,2,1,2020,SBL,68.2681378418,92.4878291361449
1632,Lomasney Way,46183700,3,2,1,2017,BL,121.955575255,165.238691634642
1633,Congress Street,5648300,3,2,0,2016,SLM,50.6284083536,68.650543125008
1634,Saratoga Street,5580600,5,2,0,2017,BL,24.125207505,32.6514574229809
1635,D Street,4549800,5,2,0,2013,SLM,40.163456522,54.3707248920182
1636,A Street,5664500,5,2,0,2013,BL,85.1374142776,115.334010283141
1637,D Street,5203800,5,2,0,2013,BFBL,322.436394504,436.506391094481
1638,A Street,5139300,5,2,0,2013,BLSL,73.4029622241,99.4450008418341
1639,Broad Street,5624501,5,2,0,2013,SLM,56.7173906772,76.6663642281243
1640,Atlantic Avenue,45276400,3,2,0,2011,BFBL,35.034517882,47.5007041828982
1641,Atlantic Avenue,5284400,5,2,0,2017,SBL,99.2015216972,134.269263385232
1642,Commercial Street,5641100,5,2,0,2017,SBL,35.5273614424,48.1166988915893
1643,Neponset Avenue,4881900,5,2,0,2012,BL,190.99110335,258.275810956538
1644,Mount Vernon Street,4672300,6,2,0,2013,BFBL,365.422444954,493.78829561459
1645,William Day Boulevard,5738600,3,3,0,2018,BL,64.6266731092,87.3593043945389
1646,D Street,5286100,3,5,1,2013,BL,67.3133067494,91.2008229991251
1647,D Street Extension,45264001,3,2,1,2013,SLM,50.4219180094,68.2605084237955
1648,Meridian Street,5707400,5,2,0,2013,BLSL,101.190603486,137.26709576859
1649,Meridian Street,5228600,5,2,0,2013,BLSL,76.3854751781,103.615970315635
1650,Chelsea Street,5138600,5,2,0,2010,BL,119.593427218,161.989007570878
1651,Veterans Of Foreign Wars Parkway,6213700,2,3,1,2013,BL,136.572601283,184.891399694128
1652,Veterans Of Foreign Wars Parkway,6213300,2,3,1,2013,BL,97.7538224942,132.360216268551
1653,Veterans Of Foreign Wars Parkway,5214600,2,3,1,2013,BL,130.588475695,176.845390952104
1654,Veterans Of Foreign Wars Parkway,6222300,2,3,1,2013,BL,212.455833273,287.648260721722
1655,Commonwealth Avenue Frontage Road Eb,5109800,0,2,1,2013,SLM,69.3454831705,93.9651384211886
1656,Commonwealth Avenue Frontage Road Eb,5109900,0,2,1,2013,SLM,69.5309386332,94.2217649199627
1657,Maverick Street,5157300,5,2,0,2015,BL,59.1149323744,79.9712247775072
1658,Chelsea Street,4416800,5,2,0,2010,BL,168.413850977,228.120573356902
1659,Bennington Street,4392000,5,2,0,2008,SLM,198.080868218,267.939302193543
1660,Saratoga Street,5192300,5,2,0,2012,BLSL,50.1019611556,67.7638679036925
1661,Saratoga Street,4396200,5,2,0,2012,BL,245.073984799,331.426128459295
1662,Veterans Of Foreign Wars Parkway,6212600,2,3,1,2013,BL,59.336737499,80.2526907021074
1663,Washington Street,4482000,3,2,0,2010,SLM,91.7072244214,124.059372901597
1664,Washington Street,4485100,3,2,0,2010,SLM,84.9356502754,114.889277299919
1665,Washington Street,4490600,3,2,0,2010,SLM,104.484790989,141.316862197823
1666,Veterans Of Foreign Wars Parkway,5171200,2,3,1,2013,SLM,83.2682685011,112.574327929578
1667,Veterans Of Foreign Wars Parkway,4842600,2,3,1,2013,BL,74.7421986808,101.000454763135
1668,Veterans Of Foreign Wars Parkway,6218400,2,3,1,2013,BL,160.476917142,216.86063740904
1669,Beacon Street,4589500,3,2,0,2009,BL,66.6174572265,89.9894833701102
1670,Beacon Street,4589200,3,2,0,2009,BL,110.67428707,149.503489258435
1671,University Of Massachusetts Access Road,5369400,0,B,0,2019,BL,54.0293798513,72.99734240555
1672, ,6068800,0, ,0,2019,BL,27.979811445,37.8387496240481
1673, ,6068900,0, ,0,2019,BL,293.786114889,397.19702935028
1674,Central Square,6256800,0,2,0,2017,SLM,21.7129972214,29.3707405110973
1675,Commonwealth Avenue Frontage Road Wb,5264100,0,2,1,2013,SLM,118.732530774,160.902174058199
1676,Washington Street,5304300,3,2,1,2010,SLM,20.824736374,28.1413298418527
1677,Faneuil Street,5648800,6,2,0,2017,BL,76.7244423573,103.796745809359
1678,Chestnut Hill Avenue,5125600,5,2,0,2013,SLM,21.9678588129,29.7553889935204
1679,Commonwealth Avenue,5137100,3,2,1,2013,SLM,139.046439912,187.918696585715
1680,Market Street,6260900,5,2,0,2013,SLM,63.999088721,86.5866862250432
1681,Centre Street,4871400,5,2,0,2010,BL,29.4066786608,39.7053807575167
1682,Commonwealth Avenue Frontage Road Wb,4533500,0,2,1,2013,BL,82.5648257411,111.858455462611
1683,Cambridge Street,6241900,3,2,1,2010,BL,46.226825844,62.4954069884841
1684,Market Street,5623900,5,2,0,2013,BL,134.920804583,182.871220611708
1685,Western Avenue,4437800,5,2,0,2015,BLSL,51.8590054786,70.0950107479883
1686,Belgrade Avenue,4896800,3,2,0,2009,BL,93.3183523604,125.956473161224
1687,Commonwealth Avenue Frontage Road Eb,5109700,0,2,1,2013,SLM,66.2966385095,89.8273288000789
1688,Cambridge Street,5576200,3,2,0,2015,BL,16.5537877701,22.3864803107286
1689,Cambridge Street,4473600,3,2,0,2015,SLM,95.8946003972,129.686980488627
1690,Western Avenue,4437300,5,2,0,2015,BLSL,82.7403847526,111.832088659534
1691,Western Avenue,4436500,5,2,0,2015,BLSL,170.357967698,230.240460745038
1692,Brighton Avenue,6243300,3,2,1,2013,SLM,152.261709229,205.747860906179
1693,Cambridge Street,6265400,3,2,1,2015,BL,160.486949763,216.992364020564
1694,North Harvard Street,5753200,5,2,0,2012,BL,56.9235550164,77.0677940306593
1695,Belgrade Avenue,4895200,3,2,0,2009,BL,181.241827626,244.628031566907
1696,Walter Street,4861300,6,2,0,2016,BLSL,78.5063034105,106.238571874924
1697,Centre Street,5297400,5,2,1,2010,BL,75.0991270583,101.556688571645
1698,Centre Street,5213100,2,3,1,2011,BL,124.488671257,168.205408952506
1699,Harvard Avenue,4495300,3,2,0,2010,BL,79.0626019383,107.15495825195
1700,Harvard Avenue,4503300,3,2,0,2010,BL,123.434656062,167.190662430325
1701,Cambridge Street,5649200,3,2,0,2015,BL,36.0704381196,48.7809887302334
1702,Cambridge Street,4463300,3,2,0,2015,SLM,52.9167738188,71.5721770576655
1703,Harvard Avenue,5262700,3,2,0,2010,BL,63.1005938672,85.5590683210699
1704,Franklin Street,4449800,0,2,0,2010,SLM,49.5466320867,67.195755701154
1705,Everett Street,4440000,6,2,0,2017,BLSL,122.985967855,166.750403732307
1706,Western Avenue,5126700,5,2,0,2015,BLSL,81.1326272085,109.650393917
1707,Franklin Street,5584800,0,2,0,2010,SLM,112.871106609,152.809200956576
1708,Cummins Highway,4907500,3,2,0,2012,BL,59.5576306375,80.5047502851195
1709,American Legion Highway,6222800,5,2,1,2009,BFBL,487.797700595,659.857083266312
1710,Washington Street,4850100,3,2,0,2009,BL-PEAKBUS,72.5141203376,98.1053838034843
1711,Washington Street,4820300,3,2,0,2009,BL-PEAKBUS,58.471313411,79.1025286464568
1712,Perkins Street,5150300,5,3,1,2008,BL,37.1674918172,50.2329400384474
1713,Perkins Street,4647000,5,3,1,2008,BL,49.2888669374,66.5651141379309
1714,Commonwealth Avenue,6275900,3,2,1,2019,SBL,32.7564984002,44.2627026773473
1715,Commonwealth Avenue,5119000,3,2,1,2019,SBL,85.4782047438,115.501401999363
1716,Cambridge Street,6265200,3,2,1,2018,SBL,10.5298336436,14.2340443627093
1717,Cambridge Street,5750900,3,1,1,2018,BFBL,30.1990839262,40.8300850348589
1718,American Legion Highway,5172300,5,2,1,2020,SBL,86.8370021876,117.604845048121
1719,American Legion Highway,6232500,5,2,1,2020,SBL,221.727691179,300.10169373606
1720,Walnut Avenue,5604900,6,2,0,2011,SLM,56.3963316572,76.1651088796144
1721,Washington Street,5716100,3,2,0,2016,SLM,78.902056349,106.755353809852
1722,Washington Street,5117100,3,2,0,2009,BL-PEAKBUS,60.3521380879,81.658234205101
1723,Arborway,5575200,0,3,1,2018,SBL,205.205791047,277.22083098491
1724,South Street,4752100,5,2,0,2010,SLM,42.0415995827,56.9472656765145
1725,South Street,4753000,5,2,0,2010,SLM,33.0631392657,44.7812359215366
1726,South Street,4759500,5,2,0,2010,SLM,37.1347720191,50.3208570849857
1727,South Street,4758300,5,2,0,2010,SLM,32.6288497166,44.2145226677667
1728,Centre Street,5199400,5,2,1,2011,SLM,29.4472671679,39.7714857995635
1729,Centre Street,4712300,5,2,0,2010,SLM,80.1940325041,108.681475478586
1730,Centre Street,4669200,5,2,0,2010,SLM,68.2701890354,92.4621285286708
1731,South Huntington Avenue,5682200,5,2,0,2010,BL,233.069511778,315.812506897527
1732,Huntington Avenue,6276201,3,2,1,2010,SLM,36.4771591153,49.2710931966821
1733,American Legion Highway,6222700,5,2,1,2020,SBL,339.900389209,459.445664986415
1734,Walk Hill Street,4874400,5,2,0,2015,BL,138.234301771,186.92446791982
1735,Morton Street,5106500,2,1,1,2013,BFBL,68.6292009061,92.6542150437418
1736,Rossmore Street,4755300,0,2,0,2017,SLMTC,87.2672907829,117.956462460741
1737,South Huntington Avenue,4616500,5,2,0,2010,BL,92.3277004574,125.148566366273
1738,Beacon Street,6235100,3,2,1,2020,SBL,69.9643768403,94.5673151731463
1739,Commonwealth Avenue,5127100,3,2,1,2008,BL,189.682443032,256.299814294072
1740,Bay State Road,5653700,6,2,0,2019,CFBL,48.1372670957,65.0410199940481
1741,River Street,6281700,5,2,1,2013,SLM,32.3394499795,43.6485115440813
1742,Blue Hill Avenue,5298200,2,2,1,2010,BL,136.570099051,184.966404446344
1743,Norfolk Street,4988100,5,2,0,2017,BLSL,76.8448561898,103.821112052531
1744,Huntington Avenue,5679300,3,2,0,2013,SLM,43.2637400408,58.5242524846253
1745,Huntington Avenue,5197500,3,2,0,2013,SLM,27.5931901389,37.2721565813047
1746,Huntington Avenue,5197300,3,2,0,2013,SLM,94.5678944122,127.736486908265
1747,Huntington Avenue,5745400,3,2,0,2013,SLM,81.1915606057,109.721792217492
1748,Longwood Avenue,4561200,5,2,0,2015,BLSL,92.3433523223,124.882890154934
1749,Brookline Avenue,6298200,2,2,0,2013,SBL,92.0833177617,124.67767029409
1750,Commonwealth Avenue,5176800,3,2,1,2018,SBL,58.7672928721,79.4080427044521
1751,Mountfort Street,5499000,2,2,0,2015,BL,69.6222521595,94.0915635739404
1752,Park Drive,5862800,2,2,0,2015,BL,46.5060675257,63.0378041688778
1753,Commonwealth Avenue,5176500,3,2,1,2008,BL,128.925467426,174.204969052275
1754,Centre Street,5147600,5,2,0,2010,BLSL,34.2440649839,46.2513877011539
1755,Centre Street,5147400,5,2,0,2010,SLM,18.4952665416,24.9781195331698
1756,Tremont Street,4592100,5,2,0,2015,SLM,65.0838487866,87.9754068483397
1757,Huntington Avenue,5613700,3,2,1,2013,SLM,131.958316239,178.379339851922
1758,Saint Alphonsus Street,4578500,5,2,0,2015,BL,37.3013173767,50.5344272871789
1759,Saint Alphonsus Street,5350800,5,2,0,2015,BL,45.0577305596,61.0185551284591
1760,Brookline Avenue,6298400,2,2,0,2013,SBL,148.801726536,201.484694951423
1761,Walnut Avenue,5206100,6,2,0,2011,SLM,45.2269419629,61.2813254192195
1762,Walnut Avenue,5189100,6,2,0,2011,SLM,58.7675161425,79.3959853071861
1763,Walnut Avenue,5189300,6,2,0,2011,SLM,42.5148676196,57.4414741200818
1764,Martin Luther King Boulevard,5221000,5,2,1,2010,BL,219.028670323,296.000451977
1765,Martin Luther King Boulevard,5303900,5,2,1,2010,BL,347.425781049,469.383778721513
1766,Massachusetts Avenue,6245600,3,2,1,2011,BL,73.617071564,99.6352900662688
1767,Massachusetts Avenue,5273500,3,2,1,2011,BL,72.5247371684,98.1676422328807
1768,Albany Street,4558600,5,2,0,2012,BL,66.1037675491,89.4462739790986
1769,Ruggles Street,6305600,5,2,0,2010,SLM,6.55867053869,8.86602401152638
1770,Huntington Avenue,5594800,3,2,1,2012,SLM,29.9985913047,40.5555646771805
1771,Beacon Street,5625201,3,1,0,2019,BFBL,15.8525098791,21.4260512898332
1772,Beacon Street,5625200,3,3,0,2019,BFBL,13.333333898,18.019287222816
1773,Blue Hill Avenue,4927400,2,2,1,2010,BL,110.64816602,149.859602032281
1774,Blue Hill Avenue,6213000,3,2,1,2010,SLM,86.7155925689,117.441136540235
1775,Blue Hill Avenue,6212900,3,2,1,2010,BL,61.2523609794,82.9629119048649
1776,Blue Hill Avenue,6219200,3,2,1,2010,BL,50.3442858098,68.1901054720114
1777, ,6317500,0, ,0, ,SUP,10.8575978339,14.665980910808
1778,Babcock Street,5351300,0,2,0,2014,SLM,74.0236493411,100.37400831128
1779,American Legion Highway,6264600,5,2,0,2020,SBL,101.75940421,137.825629932412
1780,Ukraine Way,6285600,0,0,1,2018,BL,88.9719579682,120.2070665421
1781,Washington Street,4773000,3,2,0,2018,SBL,21.577937933,29.200968172511
1782,Washington Street,5141100,3,2,0,2016,SLM,116.204504866,157.27836075066
1783,Park Drive,5597000,3,3,0,2019,BL,78.5755922457,106.397086091103
1784,Park Drive,4535700,3,3,0,2019,BL,34.2069988108,46.322044988277
1785,Brookline Avenue,5354200,3,2,0,2019,BLSL,62.640952514,84.8115498178604
1786,Fairway Street,5035400,0,2,0, ,SLM,136.165240072,183.852236165215
1787,Franklin Park Service Road,5271400,0,2,0, ,SUP,103.49311634,140.073324892313
1788,Fenway,5314300,3,3,0,2019,BFBL,236.138673058,319.756744362162
1789,Fenway,4554200,3,3,0,2019,BLSL,71.7046236881,96.9516920880295
1790,Playstead Road,5778600,0,2,0, ,SUP,510.744528054,691.032929818369
1791,Pierpoint Road,5223500,0,2,0, ,SUP,56.2980590791,76.0484580451948
1792,Washington Street,4683500,3,2,0,2016,SLM,67.7408140283,91.6937126513197
1793,Washington Street,5135401,3,2,0,2016,SLM,34.7511401036,47.0876535581864
1794,Washington Street,4624800,3,2,0,2016,SLM,54.9491679325,74.4629558202112
1795,Blue Hill Avenue,4807600,3,2,1,2012,BL,37.2518355321,50.4623838186762
1796,Blue Hill Avenue,6232100,3,2,1,2012,BL,123.317554448,167.053219511229
1797,Jewish War Veterans Drive,4769700,5,2,1,2009,BL,50.6142959688,68.4321270884378
1798,Blue Hill Avenue,4785900,3,2,1,2012,SLM,95.4230770919,129.266362723902
1799,Elm Hill Entrance,5373100,0,2,0,0,SUP,210.95109603,285.008216622831
1800,Seaver Street,5148600,3,2,1,2016,BFBL,162.742932662,220.017806094256
1801,Washington Street,5135200,3,2,0,2011,SLM,17.7743227839,24.0503719292159
1802,Walnut Avenue,4659700,6,2,0,2011,SLM,160.353428596,216.779658298531
1803,Warren Street,5602000,5,2,1,2011,BL,38.7116716111,52.4392465046466
1804,Warren Street,5601900,5,2,1,2011,BL,16.5374104154,22.4042088882098
1805,Warren Street,5602100,5,2,1,2011,BL,29.5842556855,40.0792856902498
1806,Warren Street,5602400,5,2,1,2011,BL,44.1724630352,59.865912041192
1807,Walnut Avenue,4632700,6,2,0,2011,BLSL,81.2703979598,109.920693510147
1808,Huntington Avenue,5595100,3,2,1,2012,SLM,311.390094532,421.071880208125
1809,Huntington Avenue,5978300,3,2,1,2012,SLM,198.049113854,268.114418834901
1810,Massachusetts Avenue,5308600,3,2,0,2016,SBLBL,52.3181437568,70.9129269241374
1811,Commonwealth Avenue,6241700,3,2,1,2010,BFBL,325.633420473,440.116271983737
1812,Hereford Street,5269500,5,2,0,2013,BL,46.3888899328,62.8782082320903
1813,Massachusetts Avenue,5625100,3,1,0,2008,BL,303.131323792,410.90746487543
1814,Ballou Avenue,4927200,0,2,0,2015,SLM,47.9359972386,64.7484497154779
1815,Norfolk Street,4911300,5,2,0,2017,BL,94.4409652199,127.882370863307
1816,Talbot Avenue,4822100,5,2,0,2010,BL,112.53814822,151.985865015151
1817,Blue Hill Avenue,6240400,5,2,1,2010,BL,56.7448939296,76.8929375391587
1818,Blue Hill Avenue,6240700,5,2,1,2010,BL,22.0636459723,29.8730659477582
1819,Blue Hill Avenue,5847200,5,2,1,2010,BL,122.739459672,166.187513544232
1820,Columbia Road,5282200,5,2,1,2010,BL,123.778039151,167.400222806604
1821,Columbia Road,5776600,5,2,1,2010,BL,199.27478138,269.217764370162
1822,Warren Street,5743200,5,2,0,2010,SLM,19.2465332459,26.0739046579357
1823,Warren Street,4712400,5,2,0,2010,SLM,75.2751340266,101.957599448953
1824,Warren Street,5743400,5,2,0,2010,SLM,61.1271889301,82.829284968649
1825,Blue Hill Avenue,5754600,5,2,1,2012,SLM,18.812879334,25.4885262742127
1826,Warren Street,5754500,5,2,0,2012,SLM,11.8061670965,15.9884865307282
1827,Warren Street,5851900,5,2,0,2010,SLM,47.3634954585,64.1543524437187
1828,Warren Street,5301400,5,2,0,2011,SLM,87.3653996291,118.375176032743
1829,Warren Street,6263700,5,2,1,2011,SLM,108.28905002,146.69925025346
1830,Washington Street,5394000,3,2,0,2011,SLM,66.6419153047,90.0877825083692
1831,Warren Street,5839100,5,2,0,2012,BL,92.555434751,125.388100395428
1832,Washington Street,5271700,3,2,0,2011,SLM,27.5204409034,37.2508819314412
1833,Washington Street,6245200,3,2,1,2011,SLM,73.3723773368,99.4317900192092
1834,Washington Street,5271800,3,2,1,2011,SLM,69.975690197,94.7813010915761
1835,Columbus Avenue,5194600,3,2,0,2018,SBL,53.702814619,72.6593797991553
1836,Columbus Avenue,4557000,3,2,0,2018,SBL,54.2618677916,73.4111063378082
1837,Columbus Avenue,4545500,3,2,0,2009,BL,70.9540749337,96.0434722149592
1838,Massachusetts Avenue,6245800,3,2,1,2011,BL,77.7899457199,105.314710203271
1839,Belvidere Street,5661700,5,2,0,2013,BLSL,94.6216793481,127.958872655908
1840,Commonwealth Avenue,4490400,3,2,1,2010,BL,187.667900126,253.668772491337
1841,Norfolk Street,5574200,5,2,0,2017,BL,44.3461663106,59.9637383351262
1842,New England Avenue,5574400,0,2,0, ,SLMTC,163.349633727,221.246562878579
1843,Washington Street,5300400,3,2,0,2011,SLM,143.550586468,194.295879338309
1844,Massachusetts Avenue,46806500,3,2,1,2011,BL,168.00324033,227.391574460098
1845,Massachusetts Avenue,5273400,3,2,1,2011,BL,129.55548623,175.353049293521
1846,Washington Street,4555600,3,2,0,2011,SLM,73.5810593872,99.5643708631754
1847,Columbus Avenue,4530100,3,2,0,2009,BL,81.623138603,110.491730134739
1848,Columbus Avenue,4519000,3,2,0,2010,SLM,210.273408006,284.659767504429
1849,Huntington Avenue,6262300,3,2,1,2015,SLM,214.784832525,290.731453225773
1850,Stuart Street,5840800,3,2,0,2017,BL,94.449196176,127.690372614771
1851,Sullivan Square,5699400,3,2,0,2014,BFBL,59.7085927267,80.9780563164149
1852,Main Street,4393800,5,2,1,2020,SBL,89.3347793738,121.125441741585
1853,Alford Street,6243400,3,2,1,2016,BL,151.084329657,204.88202669784
1854,Columbia Road,5733200,5,2,1,2010,BL,208.171937313,281.676366969827
1855,Columbia Road,5733400,5,2,1,2010,BL,234.484888133,317.605360312433
1856,Columbia Road,6254600,5,2,1,2010,SLM,30.5326573877,41.3400404474922
1857,Albany Street,5752200,5,2,0,2012,SLM,103.247170612,139.703026606427
1858,Albany Street,5678000,5,2,0,2012,BL,93.3278858251,126.294390973419
1859,Washington Street,5132700,3,2,0,2011,SLM,74.2848684092,100.509769076873
1860,West Dedham Street,5715200,5,2,0,2011,BLSL,96.2218955414,130.041567906755
1861,Malden Street,4552600,5,2,0,2011,SLM,252.465232006,341.246826782226
1862,Washington Street,4541200,3,2,0,2011,SLM,78.2361459867,105.762346860534
1863,Norwell Street,4824800,0,2,0,2020,SLMTC,210.819709682,285.562355154571
1864,Norwell Street,4831800,0,2,0,2020,SLMTC,99.1883869899,134.355241562684
1865,Washington Street,5724500,5,2,0, ,SLM,56.8918530875,77.0665107617351
1866,Washington Street,4958900,5,2,0, ,SLM,87.9641701605,119.07999157237
1867,Washington Street,5725000,5,2,0, ,SLM,85.7464962459,116.162841942432
1868,Washington Street,4851800,5,2,0, ,SLM,39.4350492498,53.4190731444385
1869,Charles Street,5649700,3,2,0,2020,SBL,79.0320083095,107.121425747109
1870,Main Street,4412500,5,2,0,2011,BL,45.5736378961,61.7414873974499
1871,Main Street,5760000,5,2,0,2011,BL,54.1416074212,73.3448210961143
1872,Main Street,5759800,5,2,0,2011,SLM,27.1905032248,36.8294834624098
1873,Main Street,5173100,5,2,0,2011,BL,41.0224149099,55.5871170725984
1874,Main Street,4405200,5,2,0,2011,BL,65.7008311112,89.0224776324003
1875,Dorchester Avenue,4918800,3,2,0,2010,SLM,88.7465694319,120.202661037493
1876,Ashmont Street,5836400,5,2,0,2013,SLM,55.8470423585,75.4079095684215
1877,Ashmont Street,4886400,5,2,0,2013,SLM,157.278985243,212.360514749087
1878,Dorchester Avenue,5152600,3,2,0,2011,SLM,47.6983323431,64.6141870519303
1879,Dorchester Avenue,5607100,3,2,0,2011,SLM,129.615572716,175.590006526505
1880,Geneva Avenue,4780800,5,2,0,2016,SLM,42.969151545,58.0907649070831
1881,Geneva Avenue,5687100,5,2,0,2016,SLM,32.6800645186,44.1796584755387
1882,Dorchester Avenue,4649900,3,2,0,2011,BL,101.196231027,137.166155673967
1883,Dorchester Avenue,5628000,3,2,0,2011,BL,61.2320487347,83.0018489292417
1884,Dorchester Avenue,5772400,3,2,0,2011,SLM,51.4197562151,69.7065876495676
1885,Columbia Road,6254700,5,2,1,2010,SLM,41.7073074495,56.4648020916968
1886,Columbia Road,6242600,5,2,1,2010,BL,94.0334821381,127.309531438162
1887,Albany Street,45241100,5,2,0,2012,BLSL,53.4257335008,72.2799522943644
1888,High Street,5647900,5,2,0,2011,BL,79.2539991633,107.201614029477
1889,Oliver Street,5451400,0,2,0,2011,SLM,38.3062250985,51.8371759304427
1890,D Street Extension,45264000,3,2,1,2013,SLM,89.3000945173,120.892370538287
1891,Adams Street,4957500,5,2,0,2017,BFBL,68.8839101531,93.2861889976763
1892,Neponset Avenue,4793900,5,2,0,2012,BL,69.5440206862,94.0492532782298
1893,Neponset Avenue,4798400,5,2,0,2012,BL,93.4502870842,126.371752081246
1894,Adams Street,5629700,5,2,0,2013,SLM,78.8266620102,106.731102745616
1895,Adams Street,4782200,5,2,0,2013,SLM,95.2375671326,128.87254812131
1896,Dorchester Avenue,4763900,3,2,0,2011,SLM,69.0959768621,93.6216510732186
1897,Dorchester Avenue,4750500,3,2,0,2011,SLM,81.0465275749,109.819084600747
1898,Dorchester Avenue,4744700,3,2,0,2011,SLM,62.587531345,84.8049845802543
1899,Freeport Street,5180100,3,2,0,2013,BL,53.7678015319,72.860809811583
1900,Dorchester Avenue,5128300,3,2,0,2011,BL,23.4917755162,31.8334798509611
1901,Dorchester Avenue,5709900,3,2,0,2011,BL,47.8490083924,64.8528055126785
1902,Dorchester Avenue,4689400,3,2,0,2011,BL,55.7522139778,75.5567502281506
1903,D Street,4578900,5,2,0,2013,BLSL,34.4343780682,46.6110323502741
1904,Dorchester Avenue,5627102,3,2,0,2011,SLM,12.2866666891,16.658590875981
1905,Kneeland Street,4499900,3,2,0,2017,BL,54.7869828764,74.0433261711732
1906,Otis Street,5432000,5,2,0,2012,SLM,125.225514597,169.587878859765
1907,Devonshire Street,5524100,5,2,0,2012,SLM,27.5285330603,37.3209022532034
1908,Devonshire Street,4462300,5,2,0,2012,SLM,143.947304279,195.217322840476
1909,Essex Street,4483800,5,2,0,2012,SLM,76.5614008094,103.493334580625
1910,Devonshire Street,5648600,5,2,0,2012,SLM,12.5157999955,16.97418430167
1911,Franklin Street,5512300,5,2,0,2011,BL,74.9033899529,101.228742453165
1912,Kilby Street,5461200,0,2,0,2011,SLM,21.0158489633,28.4871699412189
1913,Water Street,5461400,0,2,0,2011,SLM,29.2720066059,39.6061132033261
1914,Franklin Street,5237500,5,2,0,2011,BL,80.613745651,109.053439241139
1915,North Washington Street,5621500,3,2,1,2014,SLM,84.3507624991,114.409660598485
1916,Salem Street,5242700,0,2,0,2013,SLM,47.2459419506,64.0380635532225
1917,Cross Street,45229700,3,2,0,2014,BL,97.3882029147,131.753878774925
1918,John F. Fitzgerald Surface Road,45229400,3,2,0,2014,SLM,143.539293682,194.186786024064
1919,Commercial Street,5640700,5,2,0,2017,SBL,62.5341362595,84.545379233786
1920,First Avenue,5995900,0,8,0,0,SUP,87.5345893948,118.46911517337
1921,First Avenue,5996800,0,8,0,0,SUP,81.6509234287,110.592861830804
1922,Ashmont Street,4861800,5,2,0,2013,SLM,74.365130699,100.42172262198
1923,Neponset Avenue,4830600,5,2,0,2012,BLSL,137.6998133,186.373702260775
1924,Neponset Avenue,5205800,5,2,0,2012,BL,17.7334192716,23.9954195629424
1925,Freeport Street,5488703,3,2,0,2013,SLM,84.0148528663,113.828701078229
1926,Columbia Road,5173600,3,1,1,2016,BFBL,27.3669078522,37.0976075636294
1927,Old Colony Avenue,5203400,3,3,1,2016,BFBL,148.606702495,201.448927597857
1928,Charles Street,5649800,3,2,0,2020,SBL,51.5411279151,69.8705697822862
1929,Charles Street South,4485900,3,2,0,2020,CFSBL,77.4924269301,105.067521696939
1930,Tremont Street,5294100,3,2,0,2020,SBL,55.1845729004,74.8208447719515
1931,Washington Street,5625900,3,2,0, ,SLM,82.7267265152,112.163693017304
1932,Washington Street,5172100,3,2,0, ,SLM,76.4678150777,103.676816651692
1933,Washington Street,5812600,3,2,0,2020,SBL,65.8003741142,89.2078620263147
1934,Washington Street,5812700,3,2,0,2020,SBL,36.0437159443,48.8726756666921
1935,Tremont Street,4458300,3,2,0,2020,SBL,36.6947211536,49.6903299656011
1936,Tremont Street,5307100,3,2,0,2020,SBL,26.921630191,36.4620473213346
1937,Bromfield Street,5409500,5,2,0, ,PED,71.6494997581,96.906659757464
1938,Beach Street,5347100,0,2,0, ,SLM,59.0653162175,79.835215868776
1939,Beach Street,5651600,0,2,0, ,SLM,46.9590848021,63.4662855276619
1940,Court Street,5377100,3,2,0,2020,SBL,46.1779341337,62.4349584994157
1941,D Street,4553400,5,2,0,2013,SLM,59.0418020915,79.9273872043102
1942,D Street,4551900,5,2,0,2013,SLM,57.8741012891,78.3383197030323
1943,D Street,4548700,5,2,0,2013,SLM,38.013801239,51.4609758099479
1944,A Street,5139200,5,2,0,2013,BLSL,58.453266853,79.182348238864
1945,A Street,5717900,5,2,0,2013,SLM,24.8204179924,33.6252478812764
1946,John F. Fitzgerald Surface Road,45230000,3,2,0,2011,BL,63.4041298044,85.9781132518533
1947,Milk Street,5441000,5,2,0,2011,SLM,92.5438176421,125.077459348019
1948,Atlantic Avenue,45276500,3,2,0,2011,BFBL,70.9215414288,96.0893848940876
1949,Atlantic Avenue,45231600,3,2,0,2011,BL,122.755441637,166.472600777577
1950,Commercial Street,5149600,5,2,0,2017,SBL,22.8910909378,31.033179343519
1951,Neponset Avenue,4887000,5,2,0,2012,BL,78.3845669627,105.891654925511
1952,Maverick Street,5157100,5,2,0,2015,BL,43.3315195316,58.6217164159717
1953,Maverick Street,4426400,5,2,0,2015,BL,65.3045641159,88.3431928936252
1954,Maverick Street,4426800,5,2,0,2015,BL,64.0580541118,86.6564915863427
1955,Maverick Street,5621701,5,1,0,2015,BL,12.5294232021,16.9485667213645
1956,Maverick Street,5640000,5,2,0,2015,BL,71.6471911982,96.9163257538538
1957,Saratoga Street,4393900,5,2,0,2012,BLSL,134.029196503,181.307250958459
