ID,NAME,CAPACITY
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,23
66,Commonwealth Ave at Griggs St,15
67,MIT at Mass Ave / Amherst St,27
68,Central Square at Mass Ave / Essex St,19
69,Coolidge Corner - Beacon St at Centre St,19
7,Fan Pier,15
70,Harvard Kennedy School at Bennett St / Eliot St,23
71,Conway Park - Somerville Avenue,23
72,One Broadway / Kendall Sq at Main St / 3rd St,23
73,Harvard Square at Brattle St / Eliot St,15
74,Harvard Square at Mass Ave/ Dunster,19
75,Lafayette Square at Mass Ave / Main St / Columbia St,15
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,17
77,Somerville City Hall,19
78,Union Square - Somerville,19
79,Beacon St at Washington / Kirkland,15
8,Union Square - Brighton Ave at Cambridge St,19
80,MIT Stata Center at Vassar St / Main St,35
81,Chinatown T Stop,19
82,Beacon St at Tappan St,15
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,15
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,19
86,Brookline Village - Station Street at MBTA,19
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,15
88,Inman Square at Vellucci Plaza / Hampshire St,15
89,Harvard Law School at Mass Ave / Jarvis St,19
9,Commonwealth Ave at Agganis Way,15
90,Lechmere Station at Cambridge St / First St,15
91,One Kendall Square at Hampshire St / Portland St,19
92,University of Massachusetts Boston - Campus Center,19
93,JFK/UMass T Stop,31
94,Main St at Austin St,11
95,Cambridge St - at Columbia St / Webster Ave,15
96,Cambridge Main Library at Broadway / Trowbridge St,19
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,21
98,Warren St at Chelsea St,23
99,Wilson Square,15
